x y z
-1.378 -3.980 1.076
-1.378 -3.776 1.003
-1.378 -3.571 0.927
-1.378 -3.367 0.847
-1.378 -3.163 0.761
-1.378 -2.959 0.675
-1.378 -2.755 0.590
-1.378 -2.551 0.506
-1.378 -2.347 0.424
-1.378 -2.143 0.343
-1.378 -1.939 0.264
-1.378 -1.735 0.186
-1.378 -1.531 0.109
-1.378 -1.327 0.033
-1.378 -1.122 0.018
-1.378 -0.918 0.051
-1.378 -0.714 0.084
-1.378 -0.510 0.116
-1.378 -0.306 0.148
-1.378 -0.102 0.180
-1.378 0.102 0.211
-1.378 0.306 0.241
-1.378 0.510 0.271
-1.378 0.714 0.299
-1.378 0.918 0.325
-1.378 1.122 0.349
-1.378 1.327 0.369
-1.378 1.531 0.385
-1.378 1.735 0.396
-1.378 1.939 0.401
-1.378 2.143 0.400
-1.378 2.347 0.392
-1.378 2.551 0.385
-1.378 2.755 0.390
-1.378 2.959 0.394
-1.378 3.163 0.389
-1.378 3.367 0.375
-1.378 3.571 0.351
-1.378 3.776 0.318
-1.378 3.980 0.278
-1.378 4.184 0.233
-1.378 4.388 0.182
-1.378 4.592 0.128
-1.378 4.796 0.070
-1.378 5.000 0.010
-1.276 -5.000 1.346
-1.276 -4.796 1.283
-1.276 -4.592 1.219
-1.276 -4.388 1.152
-1.276 -4.184 1.084
-1.276 -3.980 1.012
-1.276 -3.776 0.937
-1.276 -3.571 0.858
-1.276 -3.367 0.774
-1.276 -3.163 0.688
-1.276 -2.959 0.604
-1.276 -2.755 0.520
-1.276 -2.551 0.438
-1.276 -2.347 0.357
-1.276 -2.143 0.278
-1.276 -1.939 0.200
-1.276 -1.735 0.124
-1.276 -1.531 0.049
-1.276 -1.327 0.011
-1.276 -1.122 0.044
-1.276 -0.918 0.076
-1.276 -0.714 0.108
-1.276 -0.510 0.140
-1.276 -0.306 0.171
-1.276 -0.102 0.202
-1.276 0.102 0.233
-1.276 0.306 0.263
-1.276 0.510 0.292
-1.276 0.714 0.319
-1.276 0.918 0.345
-1.276 1.122 0.369
-1.276 1.327 0.389
-1.276 1.531 0.404
