x y z
-0.867 -2.755 0.219
-0.867 -2.551 0.249
-0.867 -2.347 0.279
-0.867 -2.143 0.309
-0.867 -1.939 0.338
-0.867 -1.735 0.367
-0.867 -1.531 0.394
-0.867 -1.327 0.418
-0.867 -1.122 0.438
-0.867 -0.918 0.450
-0.867 -0.714 0.451
-0.867 -0.510 0.439
-0.867 -0.306 0.413
-0.867 -0.102 0.376
-0.867 0.102 0.330
-0.867 0.306 0.279
-0.867 0.510 0.224
-0.867 0.714 0.168
-0.867 0.918 0.111
-0.867 1.122 0.055
-0.867 1.327 0.001
-0.867 1.531 0.057
-0.867 1.735 0.111
-0.867 1.939 0.164
-0.867 2.143 0.216
-0.867 2.347 0.266
-0.867 2.551 0.316
-0.867 2.755 0.364
-0.867 2.959 0.412
-0.867 3.163 0.458
-0.867 3.367 0.505
-0.867 3.571 0.550
-0.867 3.776 0.596
-0.867 3.980 0.641
-0.867 4.184 0.686
-0.867 4.388 0.731
-0.867 4.592 0.777
-0.867 4.796 0.822
-0.867 5.000 0.868
-0.765 -5.000 0.164
-0.765 -4.796 0.128
-0.765 -4.592 0.091
-0.765 -4.388 0.055
-0.765 -4.184 0.020
-0.765 -3.980 0.014
-0.765 -3.776 0.046
-0.765 -3.571 0.077
-0.765 -3.367 0.109
-0.765 -3.163 0.140
-0.765 -2.959 0.171
-0.765 -2.755 0.203
-0.765 -2.551 0.234
-0.765 -2.347 0.266
-0.765 -2.143 0.298
-0.765 -1.939 0.329
-0.765 -1.735 0.361
-0.765 -1.531 0.392
-0.765 -1.327 0.421
-0.765 -1.122 0.446
-0.765 -0.918 0.465
-0.765 -0.714 0.473
-0.765 -0.510 0.466
-0.765 -0.306 0.443
-0.765 -0.102 0.407
-0.765 0.102 0.361
-0.765 0.306 0.310
-0.765 0.510 0.256
-0.765 0.714 0.200
-0.765 0.918 0.144
-0.765 1.122 0.089
-0.765 1.327 0.034
-0.765 1.531 0.020
-0.765 1.735 0.073
-0.765 1.939 0.124
-0.765 2.143 0.175
-0.765 2.347 0.224
-0.765 2.551 0.272
-0.765 2.755 0.319
-0.765 2.959 0.365
-0.765 3.163 0.411
-0.765 3.367 0.456
-0.765 3.571 0.500
-0.765 3.776 0.545
-0.765 3.980 0.589
-0.765 4.184 0.633
-0.765 4.388 0.677
-0.765 4.592 0.722
-0.765 4.796 0.766
-0.765 5.000 0.811
-0.663 -5.000 0.200
-0.663 -4.796 0.162
-0.663 -4.592 0.125
-0.663 -4.388 0.088
-0.663 -4.184 0.051
-0.663 -3.980 0.015
-0.663 -3.776 0.019
-0.663 -3.571 0.052
-0.663 -3.367 0.084
-0.663 -3.163 0.117
-0.663 -2.959 0.149
-0.663 -2.755 0.182
-0.663 -2.551 0.215
-0.663 -2.347 0.248
-0.663 -2.143 0.282
-0.663 -1.939 0.316
-0.663 -1.735 0.350
-0.663 -1.531 0.384
-0.663 -1.327 0.417
-0.663 -1.122 0.448
-0.663 -0.918 0.475
-0.663 -0.714 0.491
-0.663 -0.510 0.492
-0.663 -0.306 0.473
-0.663 -0.102 0.438
-0.663 0.102 0.393
-0.663 0.306 0.342
-0.663 0.510 0.288
-0.663 0.714 0.233
-0.663 0.918 0.177
-0.663 1.122 0.123
-0.663 1.327 0.069
-0.663 1.531 0.016
-0.663 1.735 0.035
-0.663 1.939 0.086
-0.663 2.143 0.135
-0.663 2.347 0.182
-0.663 2.551 0.229
-0.663 2.755 0.275
-0.663 2.959 0.320
-0.663 3.163 0.364
-0.663 3.367 0.408
-0.663 3.571 0.452
-0.663 3.776 0.495
-0.663 3.980 0.538
-0.663 4.184 0.581
-0.663 4.388 0.625
-0.663 4.592 0.668
-0.663 4.796 0.712
-0.663 5.000 0.756
-0.561 -5.000 0.241
-0.561 -4.796 0.202
-0.561 -4.592 0.163
-0.561 -4.388 0.125
-0.561 -4.184 0.088
-0.561 -3.980 0.050
-0.561 -3.776 0.013
-0.561 -3.571 0.022
-0.561 -3.367 0.055
-0.561 -3.163 0.089
-0.561 -2.959 0.123
-0.561 -2.755 0.157
-0.561 -2.551 0.191
-0.561 -2.347 0.226
-0.561 -2.143 0.262
-0.561 -1.939 0.297
-0.561 -1.735 0.334
-0.561 -1.531 0.371
-0.561 -1.327 0.407
-0.561 -1.122 0.444
-0.561 -0.918 0.477
-0.561 -0.714 0.503
-0.561 -0.510 0.513
-0.561 -0.306 0.501
-0.561 -0.102 0.468
-0.561 0.102 0.424
-0.561 0.306 0.373
-0.561 0.510 0.319
-0.561 0.714 0.265
-0.561 0.918 0.210
-0.561 1.122 0.156
-0.561 1.327 0.104
-0.561 1.531 0.052
-0.561 1.735 0.002
-0.561 1.939 0.047
-0.561 2.143 0.095
-0.561 2.347 0.142
-0.561 2.551 0.187
-0.561 2.755 0.232
-0.561 2.959 0.275
-0.561 3.163 0.319
-0.561 3.367 0.361
-0.561 3.571 0.404
-0.561 3.776 0.446
-0.561 3.980 0.488
-0.561 4.184 0.531
-0.561 4.388 0.573
-0.561 4.592 0.616
-0.561 4.796 0.659
-0.561 5.000 0.702
-0.459 -5.000 0.286
-0.459 -4.796 0.246
-0.459 -4.592 0.206
-0.459 -4.388 0.167
-0.459 -4.184 0.128
-0.459 -3.980 0.089
-0.459 -3.776 0.051
-0.459 -3.571 0.013
-0.459 -3.367 0.023
-0.459 -3.163 0.058
-0.459 -2.959 0.093
-0.459 -2.755 0.129
-0.459 -2.551 0.164
-0.459 -2.347 0.201
-0.459 -2.143 0.238
-0.459 -1.939 0.275
-0.459 -1.735 0.313
-0.459 -1.531 0.353
-0.459 -1.327 0.392
-0.459 -1.122 0.433
-0.459 -0.918 0.472
-0.459 -0.714 0.507
-0.459 -0.510 0.530
-0.459 -0.306 0.528
-0.459 -0.102 0.499
-0.459 0.102 0.455
-0.459 0.306 0.404
-0.459 0.510 0.350
-0.459 0.714 0.296
-0.459 0.918 0.242
-0.459 1.122 0.189
-0.459 1.327 0.138
-0.459 1.531 0.087
-0.459 1.735 0.038
