x y z
-0.449 0.776 0.142
-0.449 0.857 0.141
-0.449 0.939 0.141
-0.449 1.020 0.141
-0.449 1.102 0.141
-0.449 1.184 0.141
-0.449 1.265 0.141
-0.449 1.347 0.141
-0.449 1.429 0.141
-0.449 1.510 0.141
-0.449 1.592 0.141
-0.449 1.673 0.141
-0.449 1.755 0.141
-0.449 1.837 0.141
-0.449 1.918 0.141
-0.449 2.000 0.141
-0.367 -2.000 0.253
-0.367 -1.918 0.123
-0.367 -1.837 0.117
-0.367 -1.755 0.117
-0.367 -1.673 0.117
-0.367 -1.592 0.117
-0.367 -1.510 0.117
-0.367 -1.429 0.117
-0.367 -1.347 0.117
-0.367 -1.265 0.117
-0.367 -1.184 0.117
-0.367 -1.102 0.117
-0.367 -1.020 0.124
-0.367 -0.939 0.144
-0.367 -0.857 0.159
-0.367 -0.776 0.162
-0.367 -0.694 0.152
-0.367 -0.612 0.139
-0.367 -0.531 0.130
-0.367 -0.449 0.125
-0.367 -0.367 0.121
-0.367 -0.286 0.119
-0.367 -0.204 0.118
-0.367 -0.122 0.117
-0.367 -0.041 0.117
-0.367 0.041 0.117
-0.367 0.122 0.116
-0.367 0.204 0.116
-0.367 0.286 0.116
-0.367 0.367 0.116
-0.367 0.449 0.116
-0.367 0.531 0.116
-0.367 0.612 0.116
-0.367 0.694 0.116
